cast,time,max.depth,cast.date,MX512.Lat,MX512.Lon,MX512.SOG,cast.num
1606RL_UCTD_T001,88,-192,2016-06-29 02:39:36,33.0623333333333,-118.314,10.3,1
1606RL_UCTD_T002,94,-203,2016-06-29 13:55:05,33.8295,-120.3585,9.3,2
1606RL_UCTD_T003,121,-221,2016-06-29 17:59:22,34.2303333333333,-120.789166666667,10.6,3
1606RL_UCTD_T004,30,-87,2016-06-29 21:56:38,34.684,-120.7935,7.2,4
1606RL_UCTD_T005,31,-95,2016-06-30 02:33:16,35.2468333333333,-120.947666666667,10.8,5
1606RL_UCTD_T006,214,-341,2016-06-30 13:53:08,36.5446666666667,-122.1265,8.8,6
1606RL_UCTD_T007,29,-87,2016-06-30 18:09:45,36.9608333333333,-122.304333333333,9.3,7
1606RL_UCTD_T008,49,-133,2016-06-30 22:25:33,37.3731666666667,-122.8695,10.2,8
1606RL_UCTD_T009,49,-133,2016-06-30 22:25:33,37.3731666666667,-122.8695,10.2,9
1606RL_UCTD_T010,30,-99,2016-07-01 13:58:05,38.7166666666667,-123.606333333333,9.1,10
1606RL_UCTD_T011,209,-349,2016-07-02 14:12:37,41.3923333333333,-124.719833333333,9.4,11
1606RL_UCTD_T012,209,-357,2016-07-02 18:34:07,42.062,-124.684166666667,7.6,12
1606RL_UCTD_T013,90,-183,2016-07-02 23:56:56,42.8085,-124.756,10.6,13
1606RL_UCTD_T014,210,-290,2016-07-03 14:05:20,45.1131666666667,-124.8725,10.1,14
1606RL_UCTD_T015,211,-320,2016-07-03 18:10:57,45.7063333333333,-124.880166666667,8.7,15
1606RL_UCTD_T016,209,-317,2016-07-03 22:37:41,46.4088333333333,-124.942333333333,8.9,16
1606RL_UCTD_T017,14,-46,2016-07-04 15:01:50,48.4105,-124.669,6.8,17
1606RL_UCTD_T018,47,-123,2016-07-05 14:55:40,49.6671666666667,-127.374166666667,8,18
1606RL_UCTD_T019,7,-22,2016-07-06 01:51:15,50.7608333333333,-128.6415,10.7,19
1606RL_UCTD_T020,59,-127,2016-07-06 03:39:15,50.7608333333333,-129.1125,9.7,20
1606RL_UCTD_T021,212,-299,2016-07-06 15:34:13,50.4281666666667,-128.94,9.4,21
1606RL_UCTD_T022,69,-163,2016-07-06 17:24:24,50.4276666666667,-128.482833333333,8.6,22
1606RL_UCTD_T023,11,-36,2016-07-06 19:36:24,50.4111666666667,-128.023333333333,4.7,23
1606RL_UCTD_T024,209,-296,2016-07-06 22:50:38,50.0941666666667,-128.104833333333,9.3,24
1606RL_UCTD_T026,209,-275,2016-07-07 14:22:01,49.761,-127.890166666667,10.8,26
1606RL_UCTD_T027,17,-55,2016-07-07 16:13:01,49.7608333333333,-127.4025,10.9,27
1606RL_UCTD_T029,35,-103,2016-07-07 20:51:27,49.4263333333333,-126.881,10.1,29
1606RL_UCTD_T030,209,-272,2016-07-07 23:01:31,49.4285,-127.356333333333,11.3,30
1606RL_UCTD_T031,211,-277,2016-07-08 12:38:25,49.0943333333333,-127.169333333333,9.1,31
1606RL_UCTD_T032,38,-104,2016-07-08 14:58:11,49.0945,-126.558666666667,10,32
1606RL_UCTD_T033,6,-17,2016-07-08 17:44:08,49.0891666666667,-125.9375,9.2,33
1606RL_UCTD_T034,27,-84,2016-07-08 23:14:21,48.7595,-125.717666666667,10.3,34
1606RL_UCTD_T035,119,-228,2016-07-09 02:10:17,48.7638333333333,-126.442833333333,8.4,35
1606RL_UCTD_T036,113,-210,2016-07-11 20:49:25,48.4223333333333,-124.7935,9.7,36
1606RL_UCTD_T037,41,-109,2016-07-12 00:27:09,48.4216666666667,-125.692166666667,9.9,37
1606RL_UCTD_T038,209,-286,2016-07-13 21:40:15,48.0936666666667,-125.8205,10.7,38
1606RL_UCTD_T039,38,-103,2016-07-14 00:14:54,48.0936666666667,-125.117833333333,10.7,39
1606RL_UCTD_T040,10,-35,2016-07-14 03:18:03,47.7593333333333,-124.6955,9.5,40
1606RL_UCTD_T041,241,-326,2016-07-14 14:58:28,47.7615,-125.375,10.1,41
1606RL_UCTD_T042,245,-290,2016-07-14 18:54:15,47.7645,-126.275,11.3,42
1606RL_UCTD_T043,29,-88,2016-07-15 15:35:39,47.5713333333333,-124.876,9.8,43
1606RL_UCTD_T044,250,-316,2016-07-15 19:18:50,47.5916666666667,-125.680833333333,8.2,44
1606RL_UCTD_T045,240,-308,2016-07-15 23:19:30,47.4231666666667,-126.048,6.1,45
1606RL_UCTD_T046,159,-239,2016-07-16 02:42:00,47.4243333333333,-125.190833333333,10.7,46
1606RL_UCTD_T047,6,-17,2016-07-16 13:59:58,47.418,-124.518,11.4,47
1606RL_UCTD_T048,31,-87,2016-07-17 02:07:35,47.2578333333333,-124.734166666667,9.6,48
1606RL_UCTD_T049,208,-308,2016-07-17 14:23:29,47.2571666666667,-125.427833333333,7.8,49
1606RL_UCTD_T050,240,-349,2016-07-17 17:37:25,47.0958333333333,-125.866,8.5,50
1606RL_UCTD_T051,242,-340,2016-07-17 20:57:16,47.0955,-125.038666666667,8.4,51
1606RL_UCTD_T052,14,-44,2016-07-17 23:20:10,47.0955,-124.454166666667,7.5,52
1606RL_UCTD_T053,120,-248,2016-07-18 03:28:34,46.9193333333333,-124.908833333333,9.1,53
1606RL_UCTD_T054,240,-325,2016-07-18 15:29:30,46.7508333333333,-125.2505,8.8,54
1606RL_UCTD_T055,27,-81,2016-07-18 18:35:34,46.7423333333333,-124.45,9.1,55
1606RL_UCTD_T056,21,-66,2016-07-18 21:09:36,46.5835,-124.302166666667,11.3,56
1606RL_UCTD_T057,241,-356,2016-07-18 23:52:31,46.5868333333333,-124.873166666667,7.4,57
1606RL_UCTD_T058,135,-270,2016-07-19 02:49:43,46.4215,-125.040166666667,5.5,58
1606RL_UCTD_T059,77,-148,2016-07-19 13:38:49,46.4218333333333,-124.537166666667,10.6,59
1606RL_UCTD_T060,27,-82,2016-07-19 16:45:45,46.2543333333333,-124.324833333333,7.4,60
1606RL_UCTD_T061,240,-362,2016-07-19 19:00:28,46.2545,-124.870666666667,9.6,61
1606RL_UCTD_T062,237,-334,2016-07-19 22:29:58,46.0875,-125.401833333333,8.6,62
1606RL_UCTD_T063,121,-224,2016-07-20 01:16:17,46.087,-124.720166666667,10.3,63
1606RL_UCTD_T064,31,-94,2016-07-20 14:26:12,45.9255,-124.2595,10.3,64
1606RL_UCTD_T065,211,-341,2016-07-20 17:15:01,45.9255,-124.949333333333,7.4,65
1606RL_UCTD_T066,239,-359,2016-07-20 20:23:55,45.7578333333333,-125.149833333333,8,66
1606RL_UCTD_T067,75,-161,2016-07-20 22:59:20,45.7576666666667,-124.544,10,67
1606RL_UCTD_T068,30,-85,2016-07-21 00:48:59,45.7583333333333,-124.115833333333,10,68
1606RL_UCTD_T069,31,-96,2016-07-21 02:57:09,45.5871666666667,-124.201666666667,9,69
1606RL_UCTD_T070,240,-358,2016-07-21 14:55:11,45.5858333333333,-124.857,8,70
1606RL_UCTD_T071,239,-348,2016-07-21 17:55:46,45.416,-125.161166666667,9,71
1606RL_UCTD_T072,205,-324,2016-07-21 20:40:17,45.418,-124.528333333333,7.8,72
1606RL_UCTD_T073,20,-64,2016-07-21 22:20:53,45.4203333333333,-124.123666666667,10.7,73
1606RL_UCTD_T074,91,-182,2016-07-22 00:43:46,45.257,-124.2775,10.7,74
1606RL_UCTD_T076,17,-56,2016-07-27 19:04:41,45.0896666666667,-124.096666666667,9.5,76
1606RL_UCTD_T077,240,-328,2016-07-27 21:04:41,45.0901666666667,-124.572833333333,7.6,77
